,date,value,ub,lb,std
207,05/27/2022,2477.796296296296,2761.332156593391,2194.260435999201,283.5358602970951
208,05/28/2022,2411.1913580246915,2687.6453151521287,2134.7374008972542,276.4539571274371
209,05/29/2022,2346.5493827160494,2616.0770127174874,2077.0217527146115,269.5276300014382
210,05/30/2022,2283.814814814815,2546.5709326893493,2021.0586969402805,262.75611787453437
211,05/31/2022,2223.098765432099,2479.235460915782,1966.9620699484155,256.1366954836833
212,06/01/2022,2164.117283950617,2413.7872186758286,1914.4473492254056,249.66993472521142
213,06/02/2022,2106.932098765432,2350.284595220912,1863.5796023099522,243.35249645547978
214,06/03/2022,2051.5123456790125,2288.691962331192,1814.332729026833,237.1796166521794
215,06/04/2022,1997.783950617284,2228.9365411567455,1766.6313600778228,231.15259053946127
216,06/05/2022,1945.6296296296296,2170.897516369218,1720.3617428900411,225.26788673958845
217,06/06/2022,1895.111111111111,2114.6361725702664,1675.586049651956,219.52506145915504
218,06/07/2022,1846.141975308642,2060.0635594740047,1632.2203911432794,213.92158416536276
219,06/08/2022,1798.6543209876543,2007.1106733672775,1590.197968608031,208.4563523796232
220,06/09/2022,1752.611111111111,1955.736221961989,1549.4860002602331,203.12511085087783
221,06/10/2022,1708.0555555555557,1905.9866974410725,1510.1244136700388,197.9311418855168
222,06/11/2022,1664.7407407407406,1857.6066999937002,1471.874781487781,192.86595925295944
223,06/12/2022,1622.888888888889,1810.8207153642418,1434.957062413536,187.93182647535278
224,06/13/2022,1582.2530864197531,1765.3794442726796,1399.1267285668266,183.1263578529265
225,06/14/2022,1542.9382716049383,1721.3841249857953,1364.4924182240813,178.445853380857
226,06/15/2022,1504.8395061728395,1678.7303972585519,1330.948615087127,173.89089108571227
227,06/16/2022,1467.932098765432,1637.389731565394,1298.4744659654702,169.4576327999618
228,06/17/2022,1432.141975308642,1597.2872645261987,1266.9966860910854,165.1452892175567
229,06/18/2022,1397.5123456790122,1558.4636480128372,1236.5610433451873,160.951302333825
